roaster_id,name,website
127,Camber,https://www.cambercoffee.com
147,Equator,https://www.equatorcoffees.com
123,Broadcast,https://www.broadcastcoffeeroasters.com
126,Caffe Vita,http://www.caffevita.com
244,Common Voice,
150,Form & Function,https://www.formandfunctioncoffee.com
155,Hagen,https://www.hagencoffeeroasters.com
163,Humblemaker Coffee,https://www.humblemaker.coffee
177,Little Wolf,https://www.littlewolf.coffee
180,Mad Cap,https://www.madcapcoffee.com
186,Metric,https://www.metriccoffee.com
196,Novo,https://www.novocoffee.com
201,Onyx Coffee,https://www.onyxcoffeelab.com
203,Panther,https://squareup.com/store/panther-coffee-3
204,Parlor Coffee,https://www.parlorcoffee.com
210,Quills,https://www.quillscoffee.com/
227,Steady State,https://www.steadystateroasting.com/
229,Street Bean,https://www.streetbean.org
232,Temple,https://store.templecoffee.com
242,Wonderstate,https://www.wonderstate.com
27,Airship,https://airshipcoffee.com/pages/about-us
106,Anodyne Coffee Roasters,https://anodynecoffee.com
261,Blueprint Coffee Roasters,https://blueprintcoffee.com
134,Conduit Coffee Company,https://www.conduitcoffee.com
289,Congregation,https://www.congregationcoffee.com/
297,Dogwood,https://dogwoodcoffee.com
293,DOMA,https://domacoffee.com
142,Drink Coffee Do Stuff,https://drinkcoffeedostuff.com
145,Embrace,https://www.embracecoffeeroasting.com
26,Feast,https://www.feastcoffee.com
151,Fulcrum,https://www.fulcrumcoffee.com
271,Gimme!,https://www.gimmecoffee.com
280,Good Citizen,https://www.goodcitizen-coffee.com/
260,Greater Goods,https://www.greatergoodsroasting.com/
161,Highwire,https://www.highwirecoffee.com
162,Huckleberry,https://www.huckleberryroasters.com
166,Irving Farm,https://www.irvingfarm.com
169,Juniors Roasted Coffee,https://www.juniorsroastedcoffee.com
264,Klatch,https://www.klatchroasting.com
172,Kuma,https://www.kumacoffee.com
173,La Terza,https://shop.laterzacoffee.com
181,Maquina,https://www.maquinacoffee.com/coffee/
185,Methodical,https://www.methodicalcoffee.com
1,Mother Tongue Coffee,http://www.mothertonguecoffee.com
192,Moustache Coffee Club,https://www.moustachecoffeeclub.com
272,Necessary,https://www.necessarycoffee.com/
193,Neckar,https://www.neckarcoffee.com
267,Orens,https://www.orensdailyroast.com
300,Passenger,https://www.passengercoffee.com
256,Peixoto,https://www.peixotocoffee.com/
277,Portland,http://www.portlandroasting.com
282,Portrait,https://portrait.coffee/
206,PTs Coffee Roasting Co.,https://www.ptscoffee.com
28,ReAnimator Coffee Roasters,https://www.reanimatorcoffee.com
246,Red Bay,https://www.redbaycoffee.com
287,Red Rooster,https://www.redroostercoffee.com
211,Revelator,https://www.revelatorcoffee.com
281,Sight Glass,https://www.sightglasscoffee.com
273,Small Planes,https://www.smallplanescoffee.com/
222,Sparrows,https://shop.thesparrowsgr.com
225,Stamp Act,https://www.stampactcoffee.com
228,Sterling Coffee Roasters,https://www.sterling.coffee/
296,Stumptown,https://www.stumptowncoffee.com
231,Tandem,https://www.tandemcoffee.com
239,Verve,https://www.vervecoffee.com
240,Victrola,https://www.victrolacoffee.com
